avg_speed,avg_spin,avg_break_x,avg_break_z,avg_break_z_induced,avg_break,range_speed,usage_pct,name,year,pitch_hand,arm_angle,pitch_type,umap_1,umap_2,player_id,savant_url,correct_savant_url
86.6,1659.0,10.9,-25.1,11.3,16.0,2.0,7.5,"Weathers, Ryan",2021,L,33.1,CH,4.476463,11.600124,677960,https://baseballsavant.mlb.com/sporty-videos?playId=634313-1,https://baseballsavant.mlb.com/sporty-videos?playId=9af69af3-8163-4430-afc0-9e6b984d9e49
86.0,2110.0,-11.7,-32.8,4.0,12.6,1.2,12.0,"Elder, Bryce",2022,R,51.5,CH,9.903447,0.083577156,693821,https://baseballsavant.mlb.com/sporty-videos?playId=661571-6,https://baseballsavant.mlb.com/sporty-videos?playId=f01e5f8c-a69a-458d-8972-6d1641c17b33
94.8,2235.0,-16.4,-20.0,10.6,19.7,1.1,19.5,"Neris, Héctor",2021,R,33.9,SI,11.767403,3.7444491,593576,https://baseballsavant.mlb.com/sporty-videos?playId=633168-3,https://baseballsavant.mlb.com/sporty-videos?playId=c0923f0b-34e5-473d-a5e5-3b47459d8ace
78.4,2293.0,4.0,-50.4,-5.2,8.0,1.4,19.5,"Ramírez, Neil",2017,R,,CU,-0.57917506,4.3138623,519166,https://baseballsavant.mlb.com/sporty-videos?playId=491030-2,https://baseballsavant.mlb.com/sporty-videos?playId=8e50c928-86ff-4deb-945b-dc2e5556bec3
83.8,2541.0,5.2,-44.6,-4.0,6.9,1.3,21.4,"McGuire, Deck",2018,R,,SL,0.49953967,5.482864,592547,https://baseballsavant.mlb.com/sporty-videos?playId=531241-9,https://baseballsavant.mlb.com/sporty-videos?playId=343cdb8e-27d6-4a1c-a7ec-3f700b141848
89.3,2295.0,0.0,-28.1,6.3,7.1,1.4,15.9,"Strop, Pedro",2017,R,,FS,3.8731253,5.8437266,467008,https://baseballsavant.mlb.com/sporty-videos?playId=491821-3,https://baseballsavant.mlb.com/sporty-videos?playId=97d2b6df-984d-4241-91f2-f353d7e1539d
86.8,2374.0,-16.8,-29.8,6.5,18.1,1.3,25.6,"Pepiot, Ryan",2022,R,36.3,CH,10.903238,0.9707692,686752,https://baseballsavant.mlb.com/sporty-videos?playId=662385-4,https://baseballsavant.mlb.com/sporty-videos?playId=524961aa-cf63-4f1e-b170-e128d4e7952e
93.0,2264.0,-7.5,-14.6,18.1,19.8,1.2,60.9,"Oh, Seunghwan",2017,R,,FF,13.868034,7.2305512,493200,https://baseballsavant.mlb.com/sporty-videos?playId=491094-2,https://baseballsavant.mlb.com/sporty-videos?playId=675355da-2437-4750-932e-5d2d2be085a9
76.7,2288.0,-19.0,-48.1,0.4,19.2,1.4,0.3,"Lyons, Tyler",2017,L,,CU,0.6089322,1.2427242,544928,https://baseballsavant.mlb.com/sporty-videos?playId=491488-2,https://baseballsavant.mlb.com/sporty-videos?playId=89829679-5262-47f4-9ba8-555f3519b8a4
88.6,2071.0,3.8,-26.2,8.5,9.7,1.3,11.9,"Smyly, Drew",2023,L,46.5,FC,4.3097224,5.646563,592767,https://baseballsavant.mlb.com/sporty-videos?playId=717763-2,https://baseballsavant.mlb.com/sporty-videos?playId=1e76af41-9382-4594-96b3-8bebc098754a
